CartId,LocationCode,CartNo,DeviceNo,CartType,ActivityType,UserId,CreateCartDate,StartPickDate,CloseCartDate,PackLineQueueDate,CompleteCartDate,StatusId,ProcessLaneId,SourceType,Id,CartId,No,LineNo,ActivityType,Item,ItemDescription,Bin,Qty,ZoneCode,PickDate,Shipped,CustomerNo,CustomerName,SourceNo,SourceLineNo,SourceType,SourceSubtype,UOM,ShippingAgentCode,ShippingAgentService,PacklineScanStart,PacklineScanEnd,PacklineScanUserId
47901,IL01,P29,35271002,FedEx,2,Crichards,2017-12-01 06:39:16.657,2017-12-01 06:39:22.000,2017-12-01 06:54:29.000,2017-12-01 06:54:36.000,2017-12-01 08:08:02.950,1,5,NULL,347935,47901,W-PI8462015,10000,2,SIHR564MPDS,"Staples, HP 564XL/564 Ink MP",AN06102,1.00000000000000000000,FLOOR,2017-12-01 06:54:13.717,1,CUST-141091,,SO3124283,10000,37,1,PK,FEDEX,GROUND SERVICE,2017-12-01 08:06:00.000,2017-12-01 08:06:34.203,KCOBLER
47901,IL01,P29,35271002,FedEx,2,Crichards,2017-12-01 06:39:16.657,2017-12-01 06:39:22.000,2017-12-01 06:54:29.000,2017-12-01 06:54:36.000,2017-12-01 08:08:02.950,1,5,NULL,347936,47901,W-PI8462016,10000,2,SIHR564MPDS,"Staples, HP 564XL/564 Ink MP",AN06102,1.00000000000000000000,FLOOR,2017-12-01 06:54:26.850,1,CUST-141091,,SO3124281,10000,37,1,PK,FEDEX,GROUND SERVICE,2017-12-01 08:07:00.000,2017-12-01 08:08:02.813,KCOBLER
47902,IL01,P75,35271002,UPS,2,Crichards,2017-12-01 06:54:50.247,2017-12-01 06:54:55.000,2017-12-01 07:00:37.000,2017-12-01 07:00:44.000,2017-12-01 07:44:01.300,1,3,NULL,347937,47902,W-PI8462029,10000,2,200629,"Reman, Lex MS/MX510 Tnr UHY",AA04402,1.00000000000000000000,01,2017-12-01 06:56:35.013,1,CUST-05594,,SOE5975073,1000,37,1,EA,UPS,GROUND,2017-12-01 07:43:00.000,2017-12-01 07:43:29.043,KCOBLER
47902,IL01,P75,35271002,UPS,2,Crichards,2017-12-01 06:54:50.247,2017-12-01 06:54:55.000,2017-12-01 07:00:37.000,2017-12-01 07:00:44.000,2017-12-01 07:44:01.300,1,3,NULL,347938,47902,W-PI8462030,10000,2,113016PNB,"CIG, HP 10A MICR",AD05301,1.00000000000000000000,04,2017-12-01 06:59:16.983,1,CUST-05594,,SOE5975076,1000,37,1,EA,UPS,GROUND,2017-12-01 07:42:00.000,2017-12-01 07:43:05.083,KCOBLER
47902,IL01,P75,35271002,UPS,2,Crichards,2017-12-01 06:54:50.247,2017-12-01 06:54:55.000,2017-12-01 07:00:37.000,2017-12-01 07:00:44.000,2017-12-01 07:44:01.300,1,3,NULL,347939,47902,W-PI8462035,10000,2,200180P,"CIG, HP 55X Tnr HY",AD11102,6.00000000000000000000,FLOOR,2017-12-01 07:00:33.217,1,CUST-140400,,SOE5975071,1000,37,1,EA,UPS,GROUND,2017-12-01 07:43:00.000,2017-12-01 07:44:01.157,KCOBLER
47903,IL01,P117,35271002,FedEx,2,Crichards,2017-12-01 07:05:26.047,2017-12-01 07:24:52.000,2017-12-01 07:27:59.000,2017-12-01 07:28:24.000,2017-12-01 08:23:57.973,1,5,NULL,347940,47903,W-PI8462150,10000,2,200644,"Reman, Lex MS/MX811 Tnr EHY",AW08402,3.00000000000000000000,23,2017-12-01 07:18:07.447,1,CUST-139308,,SO3122808,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:23:00.000,2017-12-01 08:23:57.840,KCOBLER
47903,IL01,P117,35271002,FedEx,2,Crichards,2017-12-01 07:05:26.047,2017-12-01 07:24:52.000,2017-12-01 07:27:59.000,2017-12-01 07:28:24.000,2017-12-01 08:23:57.973,1,5,NULL,347941,47903,W-PI8462182,10000,2,200643,"Reman, Lex MS/MX710 Tnr HY",AC06101,2.00000000000000000000,FLOOR,2017-12-01 07:21:03.817,1,CUST-139308,,SO3123869,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:22:00.000,2017-12-01 08:23:18.573,KCOBLER
47903,IL01,P117,35271002,FedEx,2,Crichards,2017-12-01 07:05:26.047,2017-12-01 07:24:52.000,2017-12-01 07:27:59.000,2017-12-01 07:28:24.000,2017-12-01 08:23:57.973,1,5,NULL,347942,47903,W-PI8462183,10000,2,200041,"Reman, HP 42A Tnr",AD11302,1.00000000000000000000,04,2017-12-01 07:25:44.580,1,CUST-139308,,SO3123635,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:21:00.000,2017-12-01 08:22:09.147,KCOBLER
47903,IL01,P117,35271002,FedEx,2,Crichards,2017-12-01 07:05:26.047,2017-12-01 07:24:52.000,2017-12-01 07:27:59.000,2017-12-01 07:28:24.000,2017-12-01 08:23:57.973,1,5,NULL,347943,47903,W-PI8462209,10000,2,200814P,"CIG, Brother TN630 Tnr",AC08101,2.00000000000000000000,FLOOR,2017-12-01 07:26:39.297,1,CUST-139308,,SO3123525,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:18:00.000,2017-12-01 08:18:51.827,KCOBLER
47903,IL01,P117,35271002,FedEx,2,Crichards,2017-12-01 07:05:26.047,2017-12-01 07:24:52.000,2017-12-01 07:27:59.000,2017-12-01 07:28:24.000,2017-12-01 08:23:57.973,1,5,NULL,347944,47903,W-PI8462200,10000,2,200179,"Reman, HP 55A Tnr",AP10402,1.00000000000000000000,16,2017-12-01 07:27:56.250,1,CUST-139308,,SO3123527,10000,37,1,EA,FEDEX,GROUND SERVICE,2017-12-01 08:22:00.000,2017-12-01 08:22:35.133,KCOBLER
